Hash,showNew,showEssential,labelTitle,labelSubtitle,image,SM,MD,LG,XL,2XL
20026-00020,TRUE,FALSE,Avalanche,Light Black,20026-00020,20026-00020,20026-00021,20026-00022,20026-00023,
20029-00000,FALSE,TRUE,Icon,Black,20029-00000,20029-00000,20029-00001,20029-00002,20029-00003,20029-00004
20029-00030,FALSE,TRUE,Classic,Black,20029-00030,20029-00030,20029-00031,20029-00032,20029-00033,20029-00034
20032-00000,FALSE,TRUE,Syndicate,Black Heather,20032-00000,20032-00000,20032-00001,20032-00002,20032-00003,20032-00004
20032-00005,TRUE,FALSE,Syndicate,Camo,20032-00005,20032-00005,20032-00006,20032-00007,20032-00008,20032-00009
20032-00010,FALSE,TRUE,Official,Black,20032-00010,20032-00010,20032-00011,20032-00012,20032-00013,20032-00014
20032-00015,TRUE,TRUE,Official,Red,20032-00015,20032-00015,20032-00016,20032-00017,20032-00018,20032-00019
20032-00020,TRUE,TRUE,Official,Royal,20032-00020,20032-00020,20032-00021,20032-00022,20032-00023,20032-00024
20037-00005,TRUE,FALSE,Falta,Black,20037-00005,20037-00005,20037-00006,20037-00007,20037-00008,
36038-396-10,FALSE,FALSE,Barrage,Chalk,36038-396-10,36038-396-10,36038-396-11,36038-396-12,36038-396-13,
36038-398-10,FALSE,FALSE,Barrage,Black/Deep Red,36038-398-10,36038-398-10,36038-398-11,36038-398-12,36038-398-13,
36039-404-10,FALSE,FALSE,Burst,Vapor,36039-404-10,36039-404-10,36039-404-11,36039-404-12,36039-404-13,
36040-397-10,FALSE,FALSE,Manifesto,Deep Red,36040-397-10,36040-397-10,36040-397-11,36040-397-12,36040-397-13,
36040-403-10,FALSE,FALSE,Manifesto,Pale Aqua,36040-403-10,36040-403-10,36040-403-11,36040-403-12,36040-403-13,
36041-025-10,FALSE,FALSE,Rend,Heather Grey,36041-025-10,36041-025-10,36041-025-11,36041-025-12,36041-025-13,
37002-019-10,FALSE,FALSE,Viceroy,Black,37002-019-10,37002-019-10,37002-019-11,37002-019-12,37002-019-13,
37002-399-10,FALSE,FALSE,Viceroy,Brindle,37002-399-10,37002-399-10,37002-399-11,37002-399-12,37002-399-13,